state,probability,horizon_value,loss_vs_current
AAA,0.0003000000,118.141232,-8.392476
AA+,0.0001000000,117.835142,-8.086386
AA,0.0005000000,117.530180,-7.781424
AA-,0.0014000000,117.112690,-7.363934
A+,0.0038000000,116.697310,-6.948554
A,0.0614000000,116.284027,-6.535271
A-,0.8304000000,115.723815,-5.975059
BBB+,0.0727000000,115.019726,-5.270970
BBB,0.0185000000,114.321737,-4.572982
BBB-,0.0053000000,113.231914,-3.483158
BB+,0.0012000000,112.156890,-2.408134
BB,0.0012000000,110.536704,-0.787948
BB-,0.0010000000,108.337843,1.410913
B+,0.0010000000,106.201323,3.547433
B,0.0003000000,103.583328,6.165428
B-,0.0001000000,100.235516,9.513239
CCC,0.0003000000,90.354163,19.394593
D,0.0005000000,45.000000,64.748756
