state,probability,horizon_value,loss_vs_current
AAA,0.0000000000,134.200803,-29.770116
AA+,0.0000000000,133.871246,-29.440560
AA,0.0000000000,133.542889,-29.112202
AA-,0.0000000000,133.093344,-28.662658
A+,0.0001000000,132.646043,-28.215356
A,0.0003000000,132.200970,-27.770284
A-,0.0000000000,131.597620,-27.166934
BBB+,0.0005000000,130.839237,-26.408551
BBB,0.0005000000,130.087340,-25.656653
BBB-,0.0008000000,128.913173,-24.482487
BB+,0.0007000000,127.754742,-23.324056
BB,0.0016000000,126.008455,-21.577768
BB-,0.0038000000,123.637670,-19.206983
B+,0.0202000000,121.333210,-16.902523
B,0.0965000000,118.508189,-14.077502
B-,0.6946000000,114.893562,-10.462876
CCC,0.1215000000,104.209833,0.220854
D,0.0589000000,25.000000,79.430687
