Bono_A_menos,Bono_BBB_menos,Bono_B_menos,probability,portfolio_value,portfolio_value_cents
AAA,AAA,AAA,0.000000000000,377.365940,37736
AAA,AAA,AA+,0.000000000000,377.036383,37703
AAA,AAA,AA,0.000000000000,376.708025,37670
AAA,AAA,AA-,0.000000000000,376.258481,37625
AAA,AAA,A+,0.000000000003,375.811180,37581
AAA,AAA,A,0.000000000009,375.366107,37536
AAA,AAA,A-,0.000000000000,374.762757,37476
AAA,AAA,BBB+,0.000000000015,374.004374,37400
AAA,AAA,BBB,0.000000000015,373.252477,37325
AAA,AAA,BBB-,0.000000000024,372.078310,37207
AAA,AAA,BB+,0.000000000021,370.919879,37091
AAA,AAA,BB,0.000000000048,369.173592,36917
AAA,AAA,BB-,0.000000000114,366.802807,36680
AAA,AAA,B+,0.000000000606,364.498347,36449
AAA,AAA,B,0.000000002895,361.673326,36167
AAA,AAA,B-,0.000000020838,358.058699,35805
AAA,AAA,CCC,0.000000003645,347.374969,34737
AAA,AAA,D,0.000000001767,268.165137,26816
AAA,AA+,AAA,0.000000000000,377.049793,37705
AAA,AA+,AA+,0.000000000000,376.720236,37672
AAA,AA+,AA,0.000000000000,376.391878,37639
AAA,AA+,AA-,0.000000000000,375.942334,37594
AAA,AA+,A+,0.000000000003,375.495033,37550
AAA,AA+,A,0.000000000009,375.049960,37505
AAA,AA+,A-,0.000000000000,374.446610,37445
AAA,AA+,BBB+,0.000000000015,373.688227,37369
AAA,AA+,BBB,0.000000000015,372.936330,37294
AAA,AA+,BBB-,0.000000000024,371.762163,37176
AAA,AA+,BB+,0.000000000021,370.603732,37060
AAA,AA+,BB,0.000000000048,368.857445,36886
AAA,AA+,BB-,0.000000000114,366.486660,36649
AAA,AA+,B+,0.000000000606,364.182200,36418
AAA,AA+,B,0.000000002895,361.357179,36136
AAA,AA+,B-,0.000000020838,357.742552,35774
AAA,AA+,CCC,0.000000003645,347.058822,34706
AAA,AA+,D,0.000000001767,267.848990,26785
AAA,AA,AAA,0.000000000000,376.734804,37673
AAA,AA,AA+,0.000000000000,376.405247,37640
AAA,AA,AA,0.000000000000,376.076890,37607
AAA,AA,AA-,0.000000000000,375.627345,37562
AAA,AA,A+,0.000000000006,375.180044,37518
AAA,AA,A,0.000000000018,374.734971,37473
AAA,AA,A-,0.000000000000,374.131622,37413
AAA,AA,BBB+,0.000000000030,373.373239,37337
